Country code,Country name,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
AFG,AFGHANISTAN,0.712,,0.72,,,,,0.746,,,,,
ALB,ALBANIA,0.251,,0.261,,,,,0.327,,,,,
ARE,UNITED ARAB EMIRATES,0.241,,0.234,,,,,0.602,,,,,0.625
ARG,ARGENTINA,0.38,,0.384,,,,,0.381,,,,,0.425
ARM,ARMENIA,0.34,,0.355,,,,,0.4,,,,,0.462
AUS,AUSTRALIA,0.115,,0.136,,,,,0.139,,,,,0.158
AUT,AUSTRIA,0.102,,0.13,,,,,0.13,,,,,0.158
AZE,AZERBAIJAN,0.323,,,,,,,,,,,,
BDI,BURUNDI,0.476,,0.466,,,,,0.517,,,,,0.588
BEL,BELGIUM,0.098,,0.113,,,,,0.129,,,,,0.178
BEN,BENIN,0.618,,0.614,,,,,0.65,,,,,
BFA,BURKINA FASO,0.609,,,,,,,,,,,,
BGD,BANGLADESH,0.518,,0.531,,,,,0.586,,,,,
BGR,BULGARIA,0.219,,0.231,,,,,0.227,,,,,
BHR,BAHRAIN,0.258,,0.274,,,,,0.336,,,,,
BHS,BAHAMAS,0.316,,,,,,,,,,,,
BLZ,BELIZE,0.435,,0.453,,,,,0.489,,,,,0.524
BOL,BOLIVIA,0.474,,0.478,,,,,0.542,,,,,0.576
BRA,BRAZIL,0.447,,0.446,,,,,0.473,,,,,0.516
BRB,BARBADOS,0.343,,0.347,,,,,0.336,,,,,0.364
BTN,BHUTAN,0.464,,,,,,,,,,,,
BWA,BOTSWANA,0.485,,0.497,,,,,0.535,,,,,0.529
CAF,CENTRAL AFRICAN REPUBLIC,0.654,,,,,,,0.682,,,,,
CAN,CANADA,0.119,,0.14,,,,,0.141,,,,,
CHE,SWITZERLAND,0.057,,0.068,,,,,0.084,,,,,0.1
CHL,CHILE,0.36,,0.363,,,,,0.396,,,,,0.437
CHN,CHINA,0.213,,0.207,,,,,0.225,,,,,0.579
CIV,COTE D'IVOIRE,0.632,,0.653,,,,,0.673,,,,,
CMR,CAMEROON,0.628,,0.634,,,,,0.661,,,,,
COG,CONGO,0.681,,0.691,,,,,0.699,,,,,0.611
COL,COLOMBIA,0.459,,0.466,,,,,0.506,,,,,0.522
CRI,COSTA RICA,0.346,,0.351,,,,,0.391,,,,,0.446
CUB,CUBA,0.356,,0.361,,,,,0.379,,,,,0.419
CYP,CYPRUS,0.134,,0.138,,,,,0.15,,,,,
CZE,CZECH REPUBLIC,0.122,,0.136,,,,,0.153,,,,,0.205
DEU,GERMANY,0.075,,0.085,,,,,0.106,,,,,0.131
DNK,DENMARK,0.057,,0.069,,,,,0.068,,,,,0.079
DOM,DOMINICAN REPUBLIC,0.508,,0.506,,,,,0.514,,,,,0.524
DZA,ALGERIA,0.391,,0.488,,,,,0.545,,,,,0.609
ECU,ECUADOR,0.442,,0.446,,,,,0.485,,,,,0.508
EGY,EGYPT,0.59,,,,,,,0.603,,,,,0.658
ESP,SPAIN,0.103,,0.113,,,,,0.118,,,,,0.119
EST,ESTONIA,0.158,,,,,,,0.242,,,,,0.29
FIN,FINLAND,0.075,,0.078,,,,,0.102,,,,,0.089
FJI,FIJI,,,,,,,,0.391,,,,,
FRA,FRANCE,0.083,,0.105,,,,,0.139,,,,,0.164
GAB,GABON,0.492,,0.5,,,,,0.536,,,,,
GBR,UNITED KINGDOM,0.205,,0.207,,,,,0.216,,,,,0.228
GEO,GEORGIA,0.438,,,,,,,,,,,,
GHA,GHANA,0.565,,0.573,,,,,0.585,,,,,
GMB,GAMBIA,0.594,,0.602,,,,,0.607,,,,,0.717
