Country code,Country name,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
ABW,ARUBA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFG,AFGHANISTAN,0.0,1.60085317E8,4.31556351E8,5.06675904E8,5.29538057E8,5.15119991E8,8.91245986E8,7.33870975E8,6.8434588E8,5.89313792E8,1.74427244E8,1.72486362E8,8.3767532E7,1.58907052E8,4.50102098E8,1.225150074E9,4.16971729E8,7.1617083E7,0.0
AGO,ANGOLA,0.0,8646623.0,2690525.0,8688250.0,2.2420667E7,7683386.0,877138.0,1768328.0,8051660.0,1.1880836E7,2.9660527E7,3.2690318E7,3.9838414E7,1.69907436E8,2.34777205E8,2.54971721E8,1.53563553E8,1.68155068E8,0.0
AIA,ANGUILLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALA,ÅLAND ISLANDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALB,ALBANIA,0.0,69660.0,380116.0,0.0,0.0,931252.0,124505.0,1052118.0,593274.0,5117113.0,531175.0,806765.0,831919.0,612745.0,2095788.0,3375731.0,654403.0,3803742.0,0.0
AND,ANDORRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARE,UNITED ARAB EMIRATES,0.0,0.0,0.0,710158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARG,ARGENTINA,0.0,0.0,785634.0,0.0,4400948.0,10000.0,1237726.0,100665.0,1002787.0,95907.0,737955.0,290548.0,0.0,29178.0,4267667.0,7456071.0,0.0,0.0,0.0
ARM,ARMENIA,0.0,1686607.0,1486223.0,7415138.0,2536256.0,4826736.0,424628.0,4729514.0,828024.0,2110063.0,2703002.0,5587284.0,2335235.0,933711.0,3617854.0,2567270.0,3417849.0,1.5922263E7,0.0
ASM,AMERICAN SAMOA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATG,ANTIGUA AND BARBUDA,0.0,0.0,0.0,0.0,630014.0,0.0,315648.0,0.0,0.0,0.0,0.0,10000.0,1207763.0,0.0,0.0,0.0,0.0,0.0,0.0
AUS,AUSTRALIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100000.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,25000.0,25000.0,0.0,0.0
AUT,AUSTRIA,0.0,0.0,3699998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1835552.0,691667.0,0.0,0.0,0.0
AZE,AZERBAIJAN,0.0,587130.0,1098045.0,1103010.0,1035165.0,812937.0,212314.0,0.0,1125176.0,2425639.0,5224632.0,2095222.0,5065881.0,789589.0,3917060.0,3894646.0,3357484.0,837572.0,0.0
BDI,BURUNDI,0.0,2.5792881E7,1.6700464E7,2.8168559E7,2.3696837E7,1.6878434E7,4.0770054E7,3.4478788E7,6.0077983E7,8.2760468E7,1.3156064E8,9.3043347E7,1.04844954E8,1.03645897E8,6.0000148E7,5.2849023E7,7.9284967E7,2.0567083E7,0.0
BEL,BELGIUM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEN,BENIN,0.0,0.0,2100806.0,1149738.0,3255282.0,831648.0,4670931.0,1.2312687E7,1046897.0,3335047.0,1277618.0,1756416.0,4678156.0,59109.0,238127.0,0.0,240778.0,0.0,0.0
BES,"BONAIRE, SINT EUSTATIUS AND SABA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BFA,BURKINA FASO,0.0,3.8687511E7,4.6887157E7,7.9759905E7,1.07998696E8,1.46178374E8,3.8937614E7,4.1699738E7,7.5068255E7,3.5331408E7,1.861775E7,4750010.0,1240551.0,153341.0,630292.0,2309917.0,2184023.0,0.0,0.0
BGD,BANGLADESH,0.0,6715105.0,2.3439256E7,3.0928118E7,2.6616905E7,3.1784709E7,6.6303366E7,3.0798304E7,3.7288711E7,5.6829006E7,2.92715336E8,1.2217624E7,6528527.0,1.08729403E8,3699188.0,6161616.0,1906163.0,4836236.0,0.0
BGR,BULGARIA,0.0,0.0,0.0,0.0,1420691.0,54383.0,610553.0,27641.0,0.0,0.0,200000.0,511108.0,3056705.0,0.0,237226.0,21589.0,237103.0,0.0,0.0
BHR,BAHRAIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHS,BAHAMAS,0.0,0.0,50250.0,0.0,0.0,28840.0,0.0,0.0,0.0,0.0,0.0,0.0,59000.0,2850.0,0.0,0.0,0.0,0.0,0.0
BIH,BOSNIA AND HERZEGOWINA,0.0,0.0,2103494.0,1.9924387E7,3540303.0,2369273.0,2751742.0,3961519.0,5099078.0,7962731.0,4702022.0,7017737.0,7211498.0,6483344.0,4887742.0,9508287.0,214085.0,1.7748504E7,0.0
